left,right,manip_threshold,max_candles,consec_candles,min_candles_2nd,max_candles_2nd,rr_ratio,weighted_profit,total_success_rate,profit_factor,sharpe_ratio,max_drawdown,avg_profit,trade_count,file_results,norm_profit,norm_trade_count,norm_success,norm_pf,norm_sharpe,norm_drawdown,norm_avg_profit,total_score,rank_profit,rank_trade_count,rank_success,rank_pf,rank_sharpe,rank_drawdown,rank_avg_profit
25,25,0.004,30,4,20,30,1.5,3985.0,45.103857566765576,1.2324324324324325,0.4579908115507928,2800.0,12.759643916913946,1011,"{'1yil.csv': 5200.0, '2yil.csv': 5950.0, '3yil.csv': 1750.0}",0.6076222435282839,0.7620829435609604,1.0,1.0,1.0,0.8503937007874016,1.0,199.79754631027566,22.0,48.0,1.0,1.0,1.0,9.0,1.0
15,25,0.004,30,2,10,15,1.5,5261.666666666667,44.618528610354225,1.2084870848708487,0.4079462422328284,3850.0,11.546321525885558,1468,"{'1yil.csv': 6450.0, '2yil.csv': 9350.0, '3yil.csv': 1150.0}",0.7912272291466923,0.6195821640162146,0.9180348909080591,0.9099898010183567,0.9007924551936282,0.6850393700787402,0.9180348909080585,184.7549769836904,8.0,71.0,2.0,2.0,10.0,36.0,2.0
15,25,0.004,30,3,5,15,1.5,4890.0,44.38318401102688,1.1970260223048328,0.43556238351541593,3650.0,10.957960027567195,1451,"{'1yil.csv': 5250.0, '2yil.csv': 9000.0, '3yil.csv': 1650.0}",0.7377756471716204,0.6248830682881198,0.8782885590578006,0.86690784033873,0.9555382470149982,0.7165354330708661,0.8782885590578003,177.54026823619796,13.0,70.0,3.0,3.0,4.0,33.0,3.0
15,15,0.004,30,2,15,20,1.5,6546.666666666667,44.19862340216322,1.1881057268722468,0.4378522596995956,4150.0,10.496558505408062,2034,"{'1yil.csv': 7950.0, '2yil.csv': 9700.0, '3yil.csv': 3700.0}",0.9760306807286674,0.44309323355160585,0.8471189157885395,0.8333765848496574,0.9600776605265758,0.6377952755905512,0.8471189157885398,172.59932253189734,2.0,86.0,4.0,4.0,3.0,47.0,4.0
20,10,0.012,15,4,15,25,1.5,1440.0,44.097995545657014,1.1832669322709164,0.24852285007216687,2450.0,10.244988864142538,449,"{'1yil.csv': 3150.0, '2yil.csv': 100.0, '3yil.csv': 1350.0}",0.24161073825503357,0.9373246024321796,0.8301243121753383,0.8151876291965016,0.5847541010522689,0.905511811023622,0.8301243121753382,165.50965859155332,71.0,10.0,5.0,5.0,49.0,6.0,5.0
20,15,0.004,15,4,10,15,1.5,4188.333333333333,44.015151515151516,1.179296346414073,0.40974934277721287,4250.0,10.037878787878787,1320,"{'1yil.csv': 6800.0, '2yil.csv': 6050.0, '3yil.csv': 400.0}",0.6368648130393096,0.6657312129716245,0.8161331420456831,0.8002622570702879,0.904366892549875,0.6220472440944882,0.8161331420456827,165.12010097238218,18.0,67.0,6.0,6.0,8.0,56.0,6.0
20,15,0.002,15,4,5,30,1.5,5296.666666666667,43.93329499712478,1.1753846153846155,0.42271702035072417,3950.0,9.83323749281196,1739,"{'1yil.csv': 5900.0, '2yil.csv': 10300.0, '3yil.csv': 900.0}",0.7962607861936721,0.5350795135640786,0.8023087486289818,0.785558119349229,0.9300738068353157,0.6692913385826772,0.8023087486289817,163.5218860263955,7.0,79.0,7.0,7.0,5.0,41.0,7.0
15,20,0.012,30,4,20,25,1.5,1770.0,43.92678868552412,1.175074183976261,0.29846569455929695,2050.0,9.816971713810316,601,"{'1yil.csv': 2650.0, '2yil.csv': 600.0, '3yil.csv': 2650.0}",0.2890699904122723,0.8899282818833801,0.8012099257932757,0.7843912123847646,0.6837599881992694,0.968503937007874,0.801209925793276,161.3110454249018,58.0,19.0,8.0,8.0,33.0,4.0,8.0
25,25,0.006,30,4,10,20,1.5,2581.6666666666665,43.91971664698938,1.174736842105263,0.3388442770577781,3300.0,9.799291617473436,847,"{'1yil.csv': 4250.0, '2yil.csv': 2550.0, '3yil.csv': 1500.0}",0.40580057526366253,0.8132210788899282,0.8000155597816351,0.7831231493986135,0.7638058370701852,0.7716535433070866,0.800015559781634,161.1206463579171,45.0,39.0,9.0,9.0,24.0,23.0,9.0
20,10,0.012,30,3,5,25,1.5,2278.3333333333335,43.79391100702576,1.16875,0.28254622535881474,3300.0,9.484777517564403,854,"{'1yil.csv': 1050.0, '2yil.csv': 1450.0, '3yil.csv': 5600.0}",0.36217641418983704,0.8110383536014967,0.7787687891783592,0.7606187005581654,0.6522014899341326,0.7716535433070866,0.7787687891783586,156.20068641238745,49.0,40.0,10.0,10.0,42.0,23.0,10.0
10,10,0.012,15,4,15,30,1.5,1785.0,43.70967741935484,1.164756446991404,0.24209789015832295,4150.0,9.274193548387096,620,"{'1yil.csv': 4000.0, '2yil.csv': -450.0, '3yil.csv': 2200.0}",0.29122722914669225,0.8840037418147801,0.7645429427468907,0.7456069952562071,0.5720173644349152,0.6377952755905512,0.76454294274689,152.70303065698664,57.0,21.0,11.0,11.0,52.0,47.0,11.0
20,15,0.012,30,2,20,30,1.5,1758.3333333333333,43.69369369369369,1.164,0.27777530328321487,2000.0,9.234234234234235,666,"{'1yil.csv': 1400.0, '2yil.csv': 750.0, '3yil.csv': 4000.0}",0.287392138063279,0.8696601184908014,0.7618435204268231,0.7427635224671721,0.6427436911752795,0.9763779527559056,0.7618435204268237,154.0107906425445,59.0,25.0,12.0,12.0,43.0,3.0,12.0
