open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-01 04:15:00+03:00,3359.62,3359.62,3350.05,3351.78,9644.762,2025-01-01 04:29:59.999000+03:00,32345552.45951,21998,4875.261,16350592.34249,0
2025-01-01 04:30:00+03:00,3351.79,3357.57,3351.55,3351.83,5642.668,2025-01-01 04:44:59.999000+03:00,18927751.10314,18967,2993.874,10042596.33869,0
2025-01-01 04:45:00+03:00,3351.83,3353.65,3341.18,3345.82,11712.150,2025-01-01 04:59:59.999000+03:00,39199961.13171,27178,5832.335,19520702.99082,0
2025-01-01 05:00:00+03:00,3345.83,3354.19,3345.25,3354.19,8493.047,2025-01-01 05:14:59.999000+03:00,28455264.49656,23253,5625.539,18848692.03144,0
2025-01-01 05:15:00+03:00,3354.18,3354.18,3348.21,3349.61,4278.749,2025-01-01 05:29:59.999000+03:00,14336684.69276,16965,1474.889,4942106.28882,0
2025-01-01 05:30:00+03:00,3349.61,3359.49,3349.17,3356.89,6821.247,2025-01-01 05:44:59.999000+03:00,22888029.74900,21119,3648.182,12240353.00462,0
2025-01-01 05:45:00+03:00,3356.89,3368.02,3354.56,3361.81,21720.716,2025-01-01 05:59:59.999000+03:00,73033461.14701,28390,12593.373,42335974.74031,0
2025-01-01 06:00:00+03:00,3361.81,3363.00,3357.58,3359.05,7953.806,2025-01-01 06:14:59.999000+03:00,26723368.72111,19855,4263.118,14324021.25056,0
2025-01-01 06:15:00+03:00,3359.05,3359.05,3350.86,3353.95,6369.810,2025-01-01 06:29:59.999000+03:00,21368506.69905,19199,3552.816,11918030.34751,0
2025-01-01 06:30:00+03:00,3353.96,3356.41,3351.24,3355.06,4454.123,2025-01-01 06:44:59.999000+03:00,14939003.02246,12965,2411.009,8086836.33173,0
2025-01-01 06:45:00+03:00,3355.06,3356.07,3350.23,3354.34,6026.000,2025-01-01 06:59:59.999000+03:00,20210610.68190,13580,3168.504,10627304.08697,0
2025-01-01 07:00:00+03:00,3354.35,3355.77,3347.20,3348.16,11718.951,2025-01-01 07:14:59.999000+03:00,39262631.84217,18717,3839.261,12863923.39185,0
2025-01-01 07:15:00+03:00,3348.16,3350.84,3345.12,3347.45,16057.280,2025-01-01 07:29:59.999000+03:00,53748997.49401,19414,7990.726,26749465.08602,0
2025-01-01 07:30:00+03:00,3347.45,3349.68,3343.37,3344.84,9213.621,2025-01-01 07:44:59.999000+03:00,30825755.13991,18373,4364.163,14602118.12347,0
2025-01-01 07:45:00+03:00,3344.84,3346.42,3338.26,3339.94,17122.072,2025-01-01 07:59:59.999000+03:00,57239893.86984,22838,7850.765,26252951.04864,0
2025-01-01 08:00:00+03:00,3339.93,3347.00,3339.13,3345.85,9649.261,2025-01-01 08:14:59.999000+03:00,32265980.65406,17927,5105.570,17072544.18280,0
2025-01-01 08:15:00+03:00,3345.84,3350.20,3344.19,3348.89,10090.155,2025-01-01 08:29:59.999000+03:00,33776025.21772,16327,6081.037,20357750.00002,0
2025-01-01 08:30:00+03:00,3348.89,3350.56,3343.24,3347.22,7656.174,2025-01-01 08:44:59.999000+03:00,25627089.07153,14769,3569.712,11949683.21777,0
2025-01-01 08:45:00+03:00,3347.22,3348.72,3343.46,3344.21,6563.493,2025-01-01 08:59:59.999000+03:00,21962202.10324,13026,3797.507,12708350.37558,0
2025-01-01 09:00:00+03:00,3344.21,3347.33,3337.60,3340.46,10490.947,2025-01-01 09:14:59.999000+03:00,35058333.64872,18965,4321.129,14442817.19844,0
2025-01-01 09:15:00+03:00,3340.46,3344.86,3339.58,3342.96,6666.178,2025-01-01 09:29:59.999000+03:00,22278859.99840,15003,3603.921,12045401.26681,0
2025-01-01 09:30:00+03:00,3342.97,3343.63,3335.46,3343.63,9578.869,2025-01-01 09:44:59.999000+03:00,31989382.35681,21219,3554.963,11876732.61897,0
2025-01-01 09:45:00+03:00,3343.63,3345.76,3341.62,3345.66,5230.614,2025-01-01 09:59:59.999000+03:00,17492343.34653,12051,3044.592,10182253.08801,0
2025-01-01 10:00:00+03:00,3345.66,3345.67,3339.09,3340.27,6262.249,2025-01-01 10:14:59.999000+03:00,20925402.18043,15023,2861.866,9562590.32040,0
2025-01-01 10:15:00+03:00,3340.27,3343.95,3338.31,3340.66,3857.125,2025-01-01 10:29:59.999000+03:00,12886552.61617,12160,2134.919,7132669.26119,0
2025-01-01 10:30:00+03:00,3340.65,3344.82,3340.00,3343.20,4565.501,2025-01-01 10:44:59.999000+03:00,15260997.04907,11872,3214.915,10746723.77624,0
2025-01-01 10:45:00+03:00,3343.20,3348.00,3341.97,3345.84,7897.173,2025-01-01 10:59:59.999000+03:00,26421170.87928,12602,5172.221,17303627.28444,0
2025-01-01 11:00:00+03:00,3345.83,3348.00,3343.72,3346.38,4862.398,2025-01-01 11:14:59.999000+03:00,16267926.56553,13066,2035.851,6811540.12787,0
2025-01-01 11:15:00+03:00,3346.39,3347.77,3330.06,3336.48,19710.721,2025-01-01 11:29:59.999000+03:00,65773400.58026,29869,6654.883,22203489.77843,0
2025-01-01 11:30:00+03:00,3336.48,3341.80,3335.48,3338.56,9873.398,2025-01-01 11:44:59.999000+03:00,32966532.61586,21896,5246.985,17519437.39665,0
2025-01-01 11:45:00+03:00,3338.57,3338.98,3332.23,3335.57,12295.958,2025-01-01 11:59:59.999000+03:00,41008434.77344,26011,6677.670,22272078.55645,0
2025-01-01 12:00:00+03:00,3335.56,3340.17,3329.52,3333.38,20645.619,2025-01-01 12:14:59.999000+03:00,68818667.57912,29274,7528.035,25101068.27474,0
2025-01-01 12:15:00+03:00,3333.38,3333.39,3312.62,3321.66,91382.427,2025-01-01 12:29:59.999000+03:00,303493674.41998,87220,28903.461,95992434.47919,0
2025-01-01 12:30:00+03:00,3321.67,3328.60,3318.50,3326.22,19796.241,2025-01-01 12:44:59.999000+03:00,65795512.49322,39645,12358.083,41076423.65321,0
2025-01-01 12:45:00+03:00,3326.22,3334.33,3323.12,3333.64,13911.421,2025-01-01 12:59:59.999000+03:00,46331263.25376,29359,8560.211,28507989.95083,0
2025-01-01 13:00:00+03:00,3333.63,3338.05,3328.35,3329.19,15957.388,2025-01-01 13:14:59.999000+03:00,53207968.50504,28452,7603.581,25359945.48029,0
2025-01-01 13:15:00+03:00,3329.18,3335.77,3328.36,3331.71,7989.914,2025-01-01 13:29:59.999000+03:00,26623342.27445,17405,3855.198,12846459.73074,0
2025-01-01 13:30:00+03:00,3331.73,3336.80,3327.40,3329.60,6642.069,2025-01-01 13:44:59.999000+03:00,22132472.72243,16065,2704.198,9013710.42417,0
2025-01-01 13:45:00+03:00,3329.59,3331.17,3324.92,3325.99,7293.068,2025-01-01 13:59:59.999000+03:00,24266517.59651,17446,2450.079,8152577.95596,0
2025-01-01 14:00:00+03:00,3326.00,3329.89,3322.68,3328.64,10695.832,2025-01-01 14:14:59.999000+03:00,35580583.05915,21578,6496.842,21614614.52997,0
2025-01-01 14:15:00+03:00,3328.65,3334.82,3328.64,3334.82,7881.041,2025-01-01 14:29:59.999000+03:00,26260299.10632,17600,4885.038,16277350.20929,0
2025-01-01 14:30:00+03:00,3334.82,3342.30,3333.30,3342.08,17086.229,2025-01-01 14:44:59.999000+03:00,57032156.57598,28092,10965.077,36604262.15643,0
2025-01-01 14:45:00+03:00,3342.08,3348.00,3338.94,3340.06,17652.338,2025-01-01 14:59:59.999000+03:00,59007518.56180,26998,8345.656,27902872.08827,0
2025-01-01 15:00:00+03:00,3340.06,3343.19,3337.29,3340.74,9040.620,2025-01-01 15:14:59.999000+03:00,30205753.64940,19288,3509.936,11728155.19925,0
2025-01-01 15:15:00+03:00,3340.74,3350.86,3340.54,3349.43,15726.411,2025-01-01 15:29:59.999000+03:00,52639712.31693,32241,9240.857,30930688.36311,0
2025-01-01 15:30:00+03:00,3349.42,3351.57,3343.81,3346.58,12389.133,2025-01-01 15:44:59.999000+03:00,41483902.25305,26132,5327.398,17841855.40976,0
2025-01-01 15:45:00+03:00,3346.59,3347.81,3343.00,3346.00,7144.096,2025-01-01 15:59:59.999000+03:00,23897027.39472,17986,3328.938,11135704.59486,0
2025-01-01 16:00:00+03:00,3346.00,3352.78,3336.33,3337.99,19516.481,2025-01-01 16:14:59.999000+03:00,65249584.10288,34422,6779.266,22675097.08273,0
2025-01-01 16:15:00+03:00,3337.98,3341.89,3330.98,3335.03,17892.235,2025-01-01 16:29:59.999000+03:00,59672804.33842,31695,6765.966,22568425.09450,0
2025-01-01 16:30:00+03:00,3335.03,3343.15,3333.33,3336.28,9421.978,2025-01-01 16:44:59.999000+03:00,31453656.95155,26160,5004.707,16708711.11658,0
2025-01-01 16:45:00+03:00,3336.29,3343.16,3336.00,3343.10,12296.956,2025-01-01 16:59:59.999000+03:00,41077806.46859,24154,7907.877,26416032.40144,0
2025-01-01 17:00:00+03:00,3343.10,3359.09,3342.72,3347.31,34440.329,2025-01-01 17:14:59.999000+03:00,115415613.50619,57077,19237.284,64470856.06680,0
2025-01-01 17:15:00+03:00,3347.31,3348.39,3335.58,3336.15,16659.525,2025-01-01 17:29:59.999000+03:00,55675279.69468,36942,5664.517,18931676.83589,0
2025-01-01 17:30:00+03:00,3336.15,3341.25,3327.00,3338.11,26075.852,2025-01-01 17:44:59.999000+03:00,86916316.75740,49681,12570.076,41912987.49829,0
2025-01-01 17:45:00+03:00,3338.11,3349.00,3334.56,3345.19,18675.028,2025-01-01 17:59:59.999000+03:00,62465666.82545,36048,11031.665,36898237.93024,0
2025-01-01 18:00:00+03:00,3345.19,3349.88,3332.00,3336.10,17463.138,2025-01-01 18:14:59.999000+03:00,58344069.65217,35970,6186.299,20678749.54027,0
