open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-01 04:15:00+03:00,191.5400,191.5400,190.5700,191.0600,92874,2025-01-01 04:29:59.999000+03:00,17738708.1650,10882,37066,7079125.8640,0
2025-01-01 04:30:00+03:00,191.0500,191.5500,190.8500,191.0900,50753,2025-01-01 04:44:59.999000+03:00,9708385.5480,7703,28000,5356279.7840,0
2025-01-01 04:45:00+03:00,191.0900,191.1400,190.2500,190.6200,77703,2025-01-01 04:59:59.999000+03:00,14813931.0750,10422,35363,6742506.5720,0
2025-01-01 05:00:00+03:00,190.6300,191.1400,190.5200,191.1300,49055,2025-01-01 05:14:59.999000+03:00,9360467.3180,8860,28190,5380000.5180,0
2025-01-01 05:15:00+03:00,191.1300,191.1300,190.3100,190.5600,40946,2025-01-01 05:29:59.999000+03:00,7805482.1580,6876,15550,2964182.7100,0
2025-01-01 05:30:00+03:00,190.5600,191.2600,190.4900,191.2200,42404,2025-01-01 05:44:59.999000+03:00,8097599.8400,7401,26097,4983573.8600,0
2025-01-01 05:45:00+03:00,191.2200,191.9600,191.0200,191.5100,71726,2025-01-01 05:59:59.999000+03:00,13735712.5900,9338,37574,7196246.7080,0
2025-01-01 06:00:00+03:00,191.5200,191.5200,190.9100,191.0500,42363,2025-01-01 06:14:59.999000+03:00,8097158.8440,7011,17181,3283718.1700,0
2025-01-01 06:15:00+03:00,191.0500,191.1800,190.4700,190.5100,55758,2025-01-01 06:29:59.999000+03:00,10636727.1390,7255,19127,3649028.7700,0
2025-01-01 06:30:00+03:00,190.5100,190.6300,190.2900,190.4400,45971,2025-01-01 06:44:59.999000+03:00,8755764.4800,6115,20442,3893717.2200,0
2025-01-01 06:45:00+03:00,190.4300,190.4500,189.9300,190.3100,36361,2025-01-01 06:59:59.999000+03:00,6915990.5180,5791,14736,2803510.0500,0
2025-01-01 07:00:00+03:00,190.3100,190.3100,189.5300,189.9800,81394,2025-01-01 07:14:59.999000+03:00,15459464.6360,11009,32273,6129828.9880,0
2025-01-01 07:15:00+03:00,189.9800,190.1400,189.6300,189.7700,54221,2025-01-01 07:29:59.999000+03:00,10296723.7000,7830,28138,5343502.4300,0
2025-01-01 07:30:00+03:00,189.7700,189.8000,189.2500,189.6800,70887,2025-01-01 07:44:59.999000+03:00,13430706.9260,9139,37261,7059943.7480,0
2025-01-01 07:45:00+03:00,189.6700,189.8000,189.3000,189.4100,69176,2025-01-01 07:59:59.999000+03:00,13113146.1700,7515,32462,6154826.1680,0
2025-01-01 08:00:00+03:00,189.4100,190.3000,189.2500,190.0200,65870,2025-01-01 08:14:59.999000+03:00,12496343.8260,8913,39247,7444551.9440,0
2025-01-01 08:15:00+03:00,190.0200,190.5200,189.8600,190.3200,96146,2025-01-01 08:29:59.999000+03:00,18285761.6680,10031,58485,11124472.4300,0
2025-01-01 08:30:00+03:00,190.3100,190.5500,189.8900,190.2900,40962,2025-01-01 08:44:59.999000+03:00,7794019.4540,6902,22826,4343926.8180,0
2025-01-01 08:45:00+03:00,190.2800,190.4200,189.9300,190.0200,31830,2025-01-01 08:59:59.999000+03:00,6051925.5800,5767,13130,2496523.3700,0
2025-01-01 09:00:00+03:00,190.0200,190.1800,189.4600,189.5400,52463,2025-01-01 09:14:59.999000+03:00,9951698.6460,7829,21673,4111680.5000,0
2025-01-01 09:15:00+03:00,189.5500,189.9800,189.4900,189.8500,38114,2025-01-01 09:29:59.999000+03:00,7232763.9700,6191,23827,4521760.4500,0
