Sıra,Toplam Skor,LEFT,RIGHT,MANIPULATION_THRESHOLD,MAX_CANDLES,CONSECUTIVE_CANDLES,MIN_CANDLES_2ND,MAX_CANDLES_2ND,RR_RATIO,Toplam Kâr (USD),Toplam Kâr Sıra %,Ortalama Kâr (USD),Ortalama Kâr Sıra %,Gün Başına İşlem Sayısı,Gün Başına İşlem Sayısı Sıra %,Başarı Oranı (%),Başarı Oranı Sıra %,Profit Factor,Profit Factor Sıra %,Sharpe Ratio,Sharpe Ratio Sıra %,Maksimum Düşüş (USD),Maksimum Düşüş Sıra %
1,87.77,10,20,0.01,15,4,15,30,1.5,5800.0,83.88388388388388,38.16,99.8998998998999,0.42,14.214214214214213,55.26,99.8998998998999,1.85,99.8998998998999,0.78,99.09909909909909,1000.0,92.3923923923924
2,85.86,10,15,0.01,15,4,20,20,1.5,6100.0,86.88688688688688,37.2,99.69969969969969,0.45,16.416416416416414,54.88,99.69969969969969,1.82,99.69969969969969,0.7,96.7967967967968,1000.0,92.3923923923924
3,85.36,10,15,0.01,15,4,15,15,1.5,6750.0,92.7927927927928,35.53,99.1991991991992,0.52,21.22122122122122,54.21,99.1991991991992,1.78,99.1991991991992,0.7,97.09709709709709,950.0,94.29429429429429
4,85.26,10,20,0.01,15,4,20,20,1.5,5000.0,74.87487487487488,38.46,100.0,0.36,9.80980980980981,55.38,100.0,1.86,100.0,0.72,98.09809809809809,1050.0,89.98998998999
5,84.16,10,20,0.01,15,3,20,25,1.5,5350.0,78.67867867867868,35.91,99.2992992992993,0.41,13.613613613613614,54.36,99.2992992992993,1.79,99.2992992992993,0.83,99.3993993993994,1100.0,88.48848848848849
6,81.13,15,20,0.01,15,4,15,30,1.5,4300.0,63.16316316316316,36.75,99.3993993993994,0.32,6.206206206206207,54.7,99.3993993993994,1.81,99.3993993993994,0.66,94.5945945945946,850.0,97.3973973973974
7,80.82,10,15,0.01,15,3,20,20,1.5,6100.0,86.88688688688688,33.15,98.69869869869869,0.5,20.12012012012012,53.26,98.69869869869869,1.71,98.69869869869869,0.71,97.1971971971972,950.0,94.29429429429429
8,80.13,15,10,0.01,15,4,15,15,1.5,6250.0,87.4874874874875,32.89,98.49849849849849,0.52,21.22122122122122,53.16,98.49849849849849,1.7,98.49849849849849,0.66,94.49449449449449,950.0,94.29429429429429
9,79.36,15,20,0.01,15,4,20,30,1.5,3750.0,54.95495495495496,37.5,99.7997997997998,0.27,3.203203203203203,55.0,99.7997997997998,1.83,99.7997997997998,0.59,87.98798798798799,1000.0,92.3923923923924
10,78.9,15,20,0.004,15,4,20,15,1.5,8100.0,97.5975975975976,24.62,94.1941941941942,0.9,49.44944944944945,49.85,94.1941941941942,1.49,94.1941941941942,0.97,99.7997997997998,950.0,94.29429429429429
